May 01 15:20:19.089 HYPERVISOR: Release 0.2.21-amd64/Linux (tag 2019071212)
May 01 15:20:19.089 HYPERVISOR: Started on IP = localhost, TCP port = 42465.
May 01 15:20:19.099 HYPERVISOR: exec_cmd: hypervisor version 
May 01 15:20:19.099 HYPERVISOR: exec_cmd: hypervisor working_dir /home/andre/repos/ar-project/gns-project/project-files/dynamips 
May 01 15:20:19.099 GENERAL: working_dir=/home/andre/repos/ar-project/gns-project/project-files/dynamips
May 01 15:20:19.099 HYPERVISOR: exec_cmd: ethsw create Switch8 
May 01 15:20:23.773 HYPERVISOR: exec_cmd: nio create_udp udp-0b4097a7-313a-491e-aa44-59bcd65e9dce 10167 127.0.0.1 10166 
May 01 15:20:23.773 HYPERVISOR: exec_cmd: ethsw add_nio Switch8 udp-0b4097a7-313a-491e-aa44-59bcd65e9dce 
May 01 15:20:23.784 HYPERVISOR: exec_cmd: ethsw set_access_port Switch8 udp-0b4097a7-313a-491e-aa44-59bcd65e9dce 1 
May 01 15:26:55.999 HYPERVISOR: exec_cmd: ethsw set_access_port Switch8 udp-0b4097a7-313a-491e-aa44-59bcd65e9dce 1 
May 01 15:27:13.491 HYPERVISOR: exec_cmd: ethsw set_access_port Switch8 udp-0b4097a7-313a-491e-aa44-59bcd65e9dce 1 
May 01 15:32:04.286 HYPERVISOR: exec_cmd: ethsw set_access_port Switch8 udp-0b4097a7-313a-491e-aa44-59bcd65e9dce 1 
May 02 15:30:42.085 HYPERVISOR: exec_cmd: ethsw set_access_port Switch8 udp-0b4097a7-313a-491e-aa44-59bcd65e9dce 1 
May 02 15:50:36.826 HYPERVISOR: exec_cmd: ethsw set_access_port Switch8 udp-0b4097a7-313a-491e-aa44-59bcd65e9dce 1 
May 02 15:50:36.895 HYPERVISOR: exec_cmd: ethsw set_access_port Switch8 udp-0b4097a7-313a-491e-aa44-59bcd65e9dce 1 
May 02 15:50:39.894 HYPERVISOR: exec_cmd: ethsw set_access_port Switch8 udp-0b4097a7-313a-491e-aa44-59bcd65e9dce 1 
May 02 16:09:41.233 HYPERVISOR: exec_cmd: ethsw set_access_port Switch8 udp-0b4097a7-313a-491e-aa44-59bcd65e9dce 1 
May 02 16:09:42.347 HYPERVISOR: exec_cmd: ethsw set_access_port Switch8 udp-0b4097a7-313a-491e-aa44-59bcd65e9dce 1 
May 02 16:09:48.418 HYPERVISOR: exec_cmd: ethsw set_access_port Switch8 udp-0b4097a7-313a-491e-aa44-59bcd65e9dce 1 
