May 01 15:20:19.183 HYPERVISOR: Release 0.2.21-amd64/Linux (tag 2019071212)
May 01 15:20:19.183 HYPERVISOR: Started on IP = localhost, TCP port = 60615.
May 01 15:20:19.193 HYPERVISOR: exec_cmd: hypervisor version 
May 01 15:20:19.193 HYPERVISOR: exec_cmd: hypervisor working_dir /home/andre/repos/ar-project/gns-project/project-files/dynamips 
May 01 15:20:19.193 GENERAL: working_dir=/home/andre/repos/ar-project/gns-project/project-files/dynamips
May 01 15:20:19.193 HYPERVISOR: exec_cmd: ethsw create Switch13 
May 01 15:20:24.647 HYPERVISOR: exec_cmd: nio create_udp udp-6f513d83-c587-45af-8563-4cf75242fcb7 10199 127.0.0.1 10198 
May 01 15:20:24.647 HYPERVISOR: exec_cmd: ethsw add_nio Switch13 udp-6f513d83-c587-45af-8563-4cf75242fcb7 
May 01 15:20:24.661 HYPERVISOR: exec_cmd: ethsw set_access_port Switch13 udp-6f513d83-c587-45af-8563-4cf75242fcb7 1 
May 01 15:26:57.599 HYPERVISOR: exec_cmd: ethsw set_access_port Switch13 udp-6f513d83-c587-45af-8563-4cf75242fcb7 1 
May 01 15:27:15.046 HYPERVISOR: exec_cmd: ethsw set_access_port Switch13 udp-6f513d83-c587-45af-8563-4cf75242fcb7 1 
May 01 15:27:18.541 HYPERVISOR: exec_cmd: ethsw set_access_port Switch13 udp-6f513d83-c587-45af-8563-4cf75242fcb7 1 
May 01 15:27:19.795 HYPERVISOR: exec_cmd: ethsw set_access_port Switch13 udp-6f513d83-c587-45af-8563-4cf75242fcb7 1 
May 01 15:32:05.953 HYPERVISOR: exec_cmd: ethsw set_access_port Switch13 udp-6f513d83-c587-45af-8563-4cf75242fcb7 1 
May 01 15:32:09.229 HYPERVISOR: exec_cmd: ethsw set_access_port Switch13 udp-6f513d83-c587-45af-8563-4cf75242fcb7 1 
May 01 15:32:10.591 HYPERVISOR: exec_cmd: ethsw set_access_port Switch13 udp-6f513d83-c587-45af-8563-4cf75242fcb7 1 
May 02 15:30:41.877 HYPERVISOR: exec_cmd: ethsw set_access_port Switch13 udp-6f513d83-c587-45af-8563-4cf75242fcb7 1 
May 02 16:09:40.838 HYPERVISOR: exec_cmd: ethsw set_access_port Switch13 udp-6f513d83-c587-45af-8563-4cf75242fcb7 1 
May 02 16:09:43.731 HYPERVISOR: exec_cmd: ethsw set_access_port Switch13 udp-6f513d83-c587-45af-8563-4cf75242fcb7 1 
May 02 16:09:47.920 HYPERVISOR: exec_cmd: ethsw set_access_port Switch13 udp-6f513d83-c587-45af-8563-4cf75242fcb7 1 
