May 01 15:20:19.203 HYPERVISOR: Release 0.2.21-amd64/Linux (tag 2019071212)
May 01 15:20:19.203 HYPERVISOR: Started on IP = localhost, TCP port = 59439.
May 01 15:20:19.212 HYPERVISOR: exec_cmd: hypervisor version 
May 01 15:20:19.212 HYPERVISOR: exec_cmd: hypervisor working_dir /home/andre/repos/ar-project/gns-project/project-files/dynamips 
May 01 15:20:19.212 GENERAL: working_dir=/home/andre/repos/ar-project/gns-project/project-files/dynamips
May 01 15:20:19.213 HYPERVISOR: exec_cmd: ethsw create Switch14 
May 01 15:20:24.728 HYPERVISOR: exec_cmd: nio create_udp udp-e041d056-56d9-4d94-8836-3678c5513739 10201 127.0.0.1 10200 
May 01 15:20:24.728 HYPERVISOR: exec_cmd: ethsw add_nio Switch14 udp-e041d056-56d9-4d94-8836-3678c5513739 
May 01 15:20:24.740 HYPERVISOR: exec_cmd: ethsw set_access_port Switch14 udp-e041d056-56d9-4d94-8836-3678c5513739 1 
May 01 15:26:57.707 HYPERVISOR: exec_cmd: ethsw set_access_port Switch14 udp-e041d056-56d9-4d94-8836-3678c5513739 1 
May 01 15:27:15.214 HYPERVISOR: exec_cmd: ethsw set_access_port Switch14 udp-e041d056-56d9-4d94-8836-3678c5513739 1 
May 01 15:27:16.224 HYPERVISOR: exec_cmd: ethsw set_access_port Switch14 udp-e041d056-56d9-4d94-8836-3678c5513739 1 
May 01 15:27:19.950 HYPERVISOR: exec_cmd: ethsw set_access_port Switch14 udp-e041d056-56d9-4d94-8836-3678c5513739 1 
May 01 15:32:06.073 HYPERVISOR: exec_cmd: ethsw set_access_port Switch14 udp-e041d056-56d9-4d94-8836-3678c5513739 1 
May 01 15:32:07.176 HYPERVISOR: exec_cmd: ethsw set_access_port Switch14 udp-e041d056-56d9-4d94-8836-3678c5513739 1 
May 01 15:32:10.595 HYPERVISOR: exec_cmd: ethsw set_access_port Switch14 udp-e041d056-56d9-4d94-8836-3678c5513739 1 
May 02 15:30:39.632 HYPERVISOR: exec_cmd: ethsw set_access_port Switch14 udp-e041d056-56d9-4d94-8836-3678c5513739 1 
May 02 16:09:38.787 HYPERVISOR: exec_cmd: ethsw set_access_port Switch14 udp-e041d056-56d9-4d94-8836-3678c5513739 1 
